akun;text
padiinterior;Ganjil bgt, pas in 200 lah😂|hitungan 10 tahun komisi buat yg nawar lur.  Tanda2 Alam bgth nyata 😂|Kan habis tawar menawar trus diskon 😂😂😂😂
lazuardilatief;Singapore itu cuma dahulu sekali bisa beli unit SHM. Sekarang beli property di Singapore cuma bisa sewa long lease 50thn, 35thnan. (Dahulu 90thn tapi udah nggak ada lagi karena lahan terbatas). Skema HGU memang bukan hal yang baru. Cuma dengan rentang 190thn rekor juga walaupun 95thn do review boleh ambil 95thn lagi.|@lazuardilatief Sebenernya model skema HGU di tanah pemerintah udah banyak ya. Sistem BOT namanya. Sewa jangka panjang 35thn lalu dibuat mall, atau office building, apartemen. Nanti waktu habis masa sewanya apakah dikembalikan ke Negara atau di perpanjang, spt tanah2 sekitar senayan,  atau Mall Grand Indonesia tanahnya juga punya pemerintah. Talpi emang 190thn rekor juga sih.|@lazuardilatief pak jokowi niru freeport...
sunu_wibirama;Calon mangkrak kui lur… lihat aja…|@awankudo apbn udah habis 🗿|@sunu_wibirama nyumpahin amat bro,|Baca berita deh. Investor belum masuk, ijin tanah masih belum beres. Saya jg belum lama ke Kalimantan, jd lihat data lapangan
han_ky13;Padahal UU mengatur bahwa maksimal ngasih HGU itu 35 thn. Tapi sejak kapan UU kalah dngan perpres ya statusnya😂
v4n040674;Wkwkwkwk mw heran tapi Jokowi ngobral Indonesia
adeprayudiabidin|bhin_9375;Uda d obral aja masih kaga laku 😂😂😂|@adeprayudiabidin ME-MALUUUUU-KAN.........
rhnasution;Gas pak. Itu yg terbaik utk dinasti warior bapak 😂
pujisuryoputro;Presiden paling ceeeleemkkkkk
seahorse6857;"Demi generasi penerus, aku berdoa...."" SEMOGA GAK LAKUUU..""..😮"
kingbakery17;Jadi nih ganti nama jadi Singapura nya 😢
aziz88_jakarta;VOC versi Lokal
fairuzsyahrial;The simpson bilang, kalimantan adalah singapore
pesepedabiru;Lho memang sudah jadi negara suka-suka dia, keluarga, dan bolo2nya.👏👏👏
adib_maulanaa;Tenang, blom tentu bumi sampe 190 tahun lagi
fayy0101;Sudah frustasi.😮
arsanti_1309;Baru kali ini lht pimpinan modelan begini.. Gede bgt egonya sampe mengorbankan aset negara dan rakyat
studioartdesign88;Sabda Sang Baginda Raja Kaisar KERAJAAN DINASTY MASAPAHIT😂😂😂😂WKWKMKMKMA😂😂😂
wtkajd;Sedih lihat istana di tawarin ke Investor. 😢
ayangsaputra;RIP
_sultanafandi;@jokowi mr presiden, stop berambisi. Biarkan IKN tumbuh dengan organik. Biar menjadi bukti bahwa semangat perjuangan itu dari akar rumput
fajarsutejo;Potensi dosa jariyah pak
ariez1453;Ini sudah melanggar konstitusi. Wajib di lengserkan
aryopininggit_;Wes mulai panik Ga nemu Investor asing 😂😂😂😂😂 Sesok ank’e tinggal jawab “ ya ndak tau, kan itu pemerintahan yg lama “ 😂😂😂😂😂
4ndr15;Ciiee, ada yang panik nggak laku tapi bukan jodoh😂😂😂😂
imamproel;Grasberg aja dijual 50thn lebih, ini 190thn jirr,, tanah negara kaya tanah mbahnya aja
auliasurgeon;berasa tanah ikn warisan nenek moyangnya ya, orang asli sana saja terusir
call_me_ridle;Pemuja nya kok belum nyadar juga ya
mussearmin;Kerajaan Buton 👏 menjadi kesultanan Buton ... Bangga ga d jajah VOC ... Strong Castel ga ada obat mau nyerang benteng terluas di dunia 💊
tama_sastravela20;Percayalah negara luh lg di jual
dewopakde;Huahahahahahahahaha 😂🤣😂🤣😂🤣😂🤣
bibit_ok_punya;Ini VOCnya Gen Z ya
ganteng.otodidak;Buset udh kek jaman kompeni hgu sampe ratusan tahun
zulfanhambali_akbar;Tabrak tabrak masok🔥🔥
sanasini321;Mukidiiiii
aprielpu3_rattalakia;Perhitungan di akhirat nya pun semakin lama, entah itu menjadi amal baik atau amal buruk 😢
mrfhmlmmbrak;DEALER OH DEALER
abbyrizot;Wkwkwk udah feeling dari awal gk bisa jadi pemimpin 😂
ganiestagram;Ni orang kenapa dah buset 😅
4hm4d_8319;190 TAHUN ITU APAKAH SAMPE KIAMAT.. SAMPE SEGITUNYA DEMI SEBUAH PENCITRAAN
novanpemby;Yah diobrall, murah sekali negara kita 😂
randymputra;😂
otkamerchsurabaya;Londo ireng
_srizalll;bukan bang.... makelar tepat nya
andregrabble;Makin lama makin ga jelas
x0012z;Merdeka 100thn jg belum 😂
sanichikudo;ngeri boss promonya..
agungbamantarakristiyanto;Kenapa nggak sampai kiamat sekalian
newnormal.corner;Luar biasaaa pembisnis sejati👏
sederhanabaik;Pak Jokowi gak di undang pesta pernikahan Anant konglomerat India...😂...sudah rusak sic namanya😂
saragiandro;Jokowi terbaik
hanumsujana;Oke gas Oke gas
ahmed_albanjary12;Keburu meninggalllll 🗿
emboh_wes_79;Semakin kliatan asli nya
uis_ilcapitano82;Geli
muhamad.rohyadie;ih kok jadi ngacoo dah 😍
ahmadaguz;Habis habisan pahlawan nasional supaya merdeka
kang_heri_empe;Ra masuk akal blass
jroberts38;😅😅😅
anjararizenta;
hobikulineran1;Kalo gw sech gw kasih 200thn biar genep
dimsum07_;Akowkokwowk 🤣
anton_roadcaptainhd;Gilaaa
andhikarp22;WOKWOWKWOKW MAKELAR BEUT
abdulghani80;semua bisa klo begini g perlu pinter😂
andes_yenni;Gak logik.
dmajedd;Ok
doriz_abadi;7 turunan ga abis abis donk😂
aimandestha;Rusak
moch_friday;Oiiii rakyat pikirin🔥🔥🔥🔥 jangan mikirin nafsu doang
askallani;Wkwkwkwkw
rahadian_ginanjar;Anjay 2 abad...indonesia masih ada gak tuh? Apa udah kiamat yah?😂
harris_angkat;200 tahun aja 😁
uthi296;Kita sebenarnya udah merdeka belom sih?
bang_pe2n;PARAH PARAH PARAH.. obral murah
mudamudimia;Panik ga? Panik ga? Panik laaaah masa engga 😂
ucngs;190 thn ya sama aja hak milik
akwiyantor;Ngotot bgt pak😂
dhyanha;Uwow 😱😱😱
fadel_rizal;350 tahun, biar belanda balik lg🗿
learn_fast_exercise;Ngawur ... Perlu diselidiki saat lengser
isetiawan8888;USA kota desa byk ditinggali kosong toko mall tower tutup itu negara super power renungkan era perubahan yg manusia berubah hrs waspada jgn gegabah nanyi kota desa kosong dan bikin IKN tk fungsi tk dipake
amazingandri;Astaghfirullah 😱
dkpraputra;Lama kelamaan INDONESIA bakal dijadikan ajang pelelangan buat investor asing 😢😂
ajiserasakti77;Lanjutkan 🔥
muhammad.ramaadhani;Ayo Pak deh 2 Bulan lagi...
thisfikris;Obral trosss
infokumahal;Flash sales coyyy🔥
shifnanaila;@sheeeepol
satria_pamungkas1700;Ga bahaya ta?
radfariel;Kenapa gak dibulatkan 200 thn ?
bal_hndra;Sudah pasrah nyari moda
yudisufiadi;Persis kalau bazzar, obral jelang penutupan
widodosellow;Sampai ke generasi berapa ya,,,sampai umat yg ada sekarang sdh mnjadi fosil😂
zaki_f20;😢
jaya_saputra_95;Merdeka aj blom sampe 100an tahun😂?? Sama aj jual negara jatuhnya
rijanimarja;Investornya pinter2 deh...
loedwyck;Udah angkat bendera putih....
wani_company_;Keburu kiamadd brayy
rendiartmoko;Koq bisa seenaknya gitu ya bikin peraturan. Kayak negara punyanya dia aja... annjiirrr
rangga_n;🔥🔥🔥
hidayat_official;190 tahun = 7 turunan , 1 turunan (25-30 tahun) menghasilkan anak (turunan kedua) dst.... saaf selesai 190 tahun jok, gib, kae, jan ethes sudah almarhum
inidopi_daopokok;Mangkrak kah
doddypeol;Tenaaang .. kalau dia udah lengser kan juga bisa dihapus 😂
elma_oktavianii;sampe di obral negara sndri😢indonesia gada harga dirinya semenjak di pimpin jokowi😢😢
gallsatriana;Segala cara di tempuh 😢😢 tp ALLOH maha penguasa bukan beliau
fachrifirdaus;😂😂
wahyu__achmad;😂😂😂😂
nien_ku1608;Ga sekalian di jual Pak @jokowi ? Mayan lho duitnya bisa buat 7 turunan + 10 kali tanjakan.
arief.ramadhan721;Negara sdh ga ada harganya demi ambisi pribadi 👏👏👏😂😂😂
abay_milan;Sekalian aja pak kasih gratis biar rakyat nyari kamu pak kalo uda saling ribut
novvriz;Efek masuk gorong-gorong
dek_mdsua;Tersenyum manis didepan rakyat, tapi menikam rakyatnya dari belakang, welcome to Indonesia rule
syaruni.ncx41;Neo VOC
alva.ch;Untungnya gak ada yg mau 😂😂😂
agusrianto201;Penjual tanah indonesia, londo ireng
abay_milan;
raihaaan.id;asik, indo mau diakuisisi sm singapura
ali.j.saputra;190 tahun berapa generasi? 😁
nanina_luthfi;Lah
mardianakindy10;😢😢😢😢😢
sugandiahchmd;Jualin terossss 😂😂😂
ludiasariii;Semua berawal dari gorong-gorong. Masih banyak yang memuja muja, ga habis pikir akalnya dimana 😢
luckynova98;Astaghfirullah demi apa coba ?
rhoro_q;Berharap apa si sama pakde?
indah_dunia_2022;Ini baru PELIR siden
widyawanal;kemana Gatot, FPI 😂
yeni.hannan;😂😂😂 pakkkk @jokowi istigfar pakkk ya Allah...
warno_59;Rakyat digusur Asing diberi HGU 190 tahun, masuk nalar ga sih ?
by.rizkii;G payuu😂
peter8885919;Makin dekat ke sini kok malah makin jauh ke sana ya woii..
irwanfatahu;Ngewrihhhh
nyongandri;Sesuai prediksi kartun simsons, kalimantan berubah jadi singapura.
manggalasaya;Sampe kiamat aja pak kasih HGU nya😂😂😂
afdal_zik;Anak cucu 150 tahun mendatang pasti nyalahin beliau 😂
hafidzhsy;Kurang lama, sebaiknya 1000 tahun
orengeday;Yah ga ada yg percaya lg dg omongan owi, makanya ga ada investor yg dateng
gumilarwildan;Ncok
dwahardityo;😂😂😂
garisakhir_01;yg izin mikir umurnya sampai segitu....ntar malah jadi blunder buat anak cucu...
panduright24;Kalo laku kenapa harus obral wkwkwkwkwkwkwkwkwkwkwkwkwk
ridwanaz;Jepan : RomushaBelanda : Kerja RodiKonoha : Ngawur
anitanjul;190 tahun😮 sekalian aj pak d jual tanggung amat,, indonesia merdeka aj blom nyampe sgitu umurnya dah mo d jajah lagi😂
ramliyahyaa;Jokowi tanpa PDIP = Pedagang yang apa aja di tawarin ke pihak investor 😂
bang_opanz;Apa sekalian kasih aja sertifikat negara pak, gpp kok kami baik baik saja
wildanfarih;Buset buset
sanihasani49;Ini presiden apa Sales 😂
d.doumara;Bisa bisa nya 190 tahun😢
hutagalung_jo;oalaaa🔥👏😢😂
aazubi;Siapa yang suruh bangun IKN ? Masih misterius orang nya....😂😂😂
indra_soetowo;😢😢😢
don_gunners;Yg namanya obral... artinya barangnya gak laku atau kurang laku.....😂
suryojo;Ini namanya apa daya nafsu besar tenaga tak ada ...
fiqrieputra;Ga sekalian 350 tahun aja pak😂😂😂
gung_adri_wismaya;😂😂😂
anggaofficial;Oke gas oke gas 🔥 daya rusaknya ngeray breeh
businessrezasopo_nyono;Negara kita mau dijual murah buat menuhin nafsunya, kayak negara ini milik pribadi seenaknya diatur.. tapi perlu kita sadari mengapa ini bisa terjadi artinya ada kelemahan dalam sistem politik kita.. kok bisa eksekutif berbuat sebebas bebasnya tanpa ada kontrol..
erwin.ady;190 taun sampe si jan ethes punya cucu lagi 🤣🤣🤣
orientjtz;Memang BAGONG😂🔥👏
frans_oemar;Para pahlawan rela korban nyawa demi sejengkal tanah air kita , ini malah di obral
abdulhal_lim;Kita baru merdeka 70 an tahun aja banyak kejadian. Apalagi itu 170 an tahun. Kayak gimana tuh nanti
bambanghw;Rakyatnya cuma 30 tahun
alii_zamroni;Udah macem barang bekas pakai di obral,
nyoman_ryzn;Kenapa gak sekalian 350thn saja jadi biar dejavou dijajah sm Belanda 2.0 😂
cozy.handri;Dijual mpe kiamat 😂😂😂😂
el_darery;190 tahun? Turunn temurunn 🙌
opiqmobi;ini kayak ngundang penjajah
distro_cirebon.a2e;😮😮😮
silfia_sil;Kaya punya nenek moyangnya aja.. bikin bangkrut
metals2004;Aku ora gelem
bul_hasibuan;Gak salah nih 190thn? gak sekalian sampai kiamat 😂
rahmat_wtl;Parah ni orang
bowo_690;Mau bilang ah Lebih sedikit sebelum 2 abad...
detoacrtvar;Padahal si Joko bukan apa2 tapi masih ada aja yang dukung manusia kayak gitu 😂
sandi_061;Beyond to be dealer not leader 🥸
bobkks49;Keliatan aslinya
my.budiman;rakyyat 58 mana paham
ahmadsaifulalghazali;Bingung 😂😂 Investor Ngantri
sjariefjkt;"Kebijakan ""rindu investasi"" jadi panik diobral-obral"
afdhal291;Anjay😂 salam 58%
3darykurniawan;Tanah milik dia kah ??. Atau milik Rakyat??. Ok gas ok gas😂😂😂
igustiranika;desperate decision
herjuno_sumitro;Seperti liat episode the Simpson. Pulau Kalimantan ditulis Singapore
yuan_erick;berkuasa 10 tahun,, bikin beban 190 tahun,,
iqbalharwinanda;Biasanya kalau udah gini tandanya udah hopeless jualannya ga laku2
putu_samii02;kira² azab nya dineraka kek mana yaa bagi orang yang mengsenyengsarakan rakyat ???
prenkq;Sakarepmu wes 🔥🔥🔥🔥
mustopaalwi;Dimana yang suka teriak2 NKRI harga Mati 🤦‍♂️
yaya.zack;Negara yg asal freeport sekarang pemilik simpanan emas terbanyak... negara yg punya tambang emasnya kok malah spt ini...😅
agungdh14;Sama dengan masa penjajahan belanda...😂😂😂
marcellinusdarmawan;sama dengan menjual tanah air'ku ...
arifcahjombang;😂😂😂 kata pendukungnya. Terbaik
chandrasbstian;Mulai nda masuk akal sih klo ini 😢
hasyaa11;Wong edan 😂
tuan_ical;Gak ngerti konsepnya
renokurniawan_;Ga habis pikri
ridwanamirf;Buset Indonesia satu abad merdeka aj belum miris😢
hery_setiawan88;Wah wah wah.... Bapak yg nuntut banyak pak di akhirat
waynesugenk;Sak karepe udel ee deweee😂😢
chococool07;Jual Indonesia😂
widy.ysf;@wendi.alwani @ilman_sadri ngeri
andy_rahmawan;Oke gas oke gas
paduka14;Demi kepentingan rakyat
areal.nowheremen;Njir bayanginnya seberapa lama IKN bakal dikuasai konglomerat. Indonesia yang udah lama merdeka aja umurnya sekarang belum ssampe 80 tahun dan masih sengsara, lah ini ngasih HGU melebihi umur indonesia 😂
ghiaawn;sat
hotelpromo__;Ga apa apa buat lucu lucuan
