akun;text
juhri_rich;Ide ngawur. Kalo ga ada kejelasan status hutan ya ga mungkin juga investor mau.
yuudaaaa__;sembarang mawon pak,penting njenengan seneng
paidjo_p3ci;Demi ambisi pribadi aset negara diobral murah meriah ... miris 😖😖
greeniquee;😦😦
twinszameer;yg laen pd mati ank cucu smpe cicit menanggung akibat kbijakan nih orang 🤮🤮💩💩👎👎
nurulyaqinhda;Harusnya bukan cuma sesi positifnya saja yang dipertimbangkan hmmmm, klo cuma tuk menarik investor enak tapi dampaknya harus dipertimbangkan juga.
al.chasanah10;Pak, resapan air kalau hujan mohon dibenahi dulu. Nanti percuma lho, kabur de Jakarta biar ngga kebanjiran, tp malah nyiptain banjir baru di sana. Sayang uangnya wahai Pak Presiden @jokowi
muhammadfaqih90;Harusnya pendukungnya patungan per org 10jt, aman tuh
incrediblebamz;Knp gk jd hak milik sekalian sih pak? 190 yg ngurus berkas² sdh pada mokad trus jd hak milik gt mungkin maksudnya apa gmn pak? 😂
wawan_kesmas;"Berapa generasi baruhabis kepengurusan HGU ny. Jika benar, HGU di adopsi oleh Perusahan(PT) maka tidak lama hitungan tahun hutan Kalimantan akan berganti dgn lahan perkebunan sawit/tambang oleh orang ""Kaya"" dan masyarakat setempat ???"
aldiasta_md;😢
yunidjasman;Hak milik ini mah. Buset 190 tahun
halomoan_harahap67;Terserah kalian aja, mau kalian jual kek mau bubar ke silahakan, di protes pun gk ada guma
masjack.story;Tak bisa berkata kata lagi,,, Apa salahnya negeri ini 😢!!! Diobral murah murahan… mending biarkan IKN jadi hutan daripada digadaikan
humam_rimba;"Pak @jokowi Anda itu orang Jawa, ingat pepatah ""ngono Yo ngono, Ning Ojo ngono"" ."
dhika_vikia;Iye
weko75;Seenaknya aja buat aturan negara..
wisbar.nst;Demi utk menarik investor di gadaikan bumi pertiwi ini, jabatan 10thn tapi berani buat kebijakan seperti itu mana suara wakil rakyat koq diam apa sdh ga merakyat. Lgi
yudizico;Bangun boss tidur anda terlalu miring 😂😂😂
farhanmmaul_;Diem ah
fero.agus88;200tahun lgi biar anak cucu menanggung hutang negara
din.i1504;Ne sebenarnya tujuan spa ya buat bangsa ne.. Kasihan pahlawan telah berjuang sampe titis darah pemghabisan tp republik ne mau digadaikan 190 thn ke orng luar ?
didietgunbat;sok laa para pejabat dpr-mpr cepet pindah ke IKN😂
saldialamislam99;knp tdk skalian smpai kiamat
myplant42;Bapak enak bentar lagi pensiun 😂
acilkalarangge18;Teknik marketing jual secara tidak langsung sih ini..😂😂
andiasrulhidayat;😂😂😂😂😂😂😂😂
ordinarytefa;Rakyat makmur & sejahtera Pak? Pajak turun? Sembako murah? tdl , gas turun Pak?  Masyarakat lokal sdh difikirkan Pak? Jgn2 bapak ga paham dan nanti kagetan atau tinggal jwb YNTKTS😮
r__fadly;Juaal mendingannn sekaliaan...😂😂😂
arta14ginandongs;190 tahun ...?....38 kali pergantian presiden .....emeezing ...
adit.sh;Antar Investor asing masuk ke IKN atau APBN bengkak ujung2 nya yg di peres siapa kalian pikirlah sendiri 😂
ini_iffa_;hutan kalimantan nanti gimana 😢
tedyaprilliadi;Atur manis aja Pa Yang penting Anak Mantu jadi Pejabat 😂😂😂
binlasmiin;Lawak 😂
mart.ha1937;Sampai kiamat ....
dudisofyan14;Keknya mau 1000 tahun juga, bila tak sembahyang apa Gunanyaaa...🙌
dongantap;Mohon maaf klo info sy salah, dulu saat awal2 bukannya diinfokan bnyk investor asing bakal masuk bahkan termasuk aalah satu menteri memberikan konfirmasi. Apakah skrg investor tsb mengundurkan diri ? Logika sy sbg org awam, klo mmg secara bisnis menjanjikan, masa berlaku HGU yg saat ini sdh cukup menarik sih
_taufiks;🔥🔥🔥
kirrei26;Negara lu gadein baaaapaaaak
theorifai;Fyi guys freeport dari 1967 dan kontraknya berakhir 2041 dan kemungkinan di perpanjang 20 thn sehingga freeport di bumi indo bisa mencapai 100thn. Yg perlu di garis bawahi adalah pembagian saham yang dipakai. Be smart😂😂😂😂
cilaputri20;Investor udah antri loh..jejak digital bct joko bnyk tu asal mau nyari bukti klo Joko cm mdl bct😂😂
senraitoyahya;Tenag duit di kantong banyak
heraorif303;DPR gak berkutik yah uang rakyat dipake semena bgtu
02.wrzqi.02;Berarti tanda nya engga laku
syamnawawi_;Sekolahx dmn nich....nga ada yg mau investasi ' nga percaya dgn raja wakanda
esstee19;😭😭😭
pitoyo970;Negara ini menuju kehancuran
pengabdi.cuan;Tawarin di market place pak biar cepet laku 🔥
sansastark19;"Demi mendapat investor yg banyak, rela menurunkan standar... a.k.a ""Ngemis"" karena proyek ambisius.. mending baoak kembali ke gorong²"
ariesazhary;Tanggung...di genapin 350 tahun saja pakde....biar serasa di jajah oleh Londo atau ras kuning.....😂
fiklivicks;jarak kepemilikannya panjang jg hampir 2 abad Mendekati voc menduduki indo
pitupiet;Enak banget pak bilang HGU 190th buat narik investasi, 😢
bimosito;Drpd SHGU 190 tahun wis disamakan ajh SHM gtu koq tanggung #mumet
wahyuardiansyah679;DPR kemana,mahasiswa kemana, yg memperjuangkan negeri ini kemana, pejuang pendahulu kita pasti menangis😭😭
fachhrudin;Minim investasi sampai dijanjikan Hgu panjang. Ikn ibu kota njenengan 😂
fenians15;Aneh2 aja😂
fauzi_rachman17;Kalau yg bangun investor kenapa pajak,listrik BBM, semua naik?? Bahkan banyak rencana kebijakan2 baru yg semakin mencekik rakyat
affanqoulanie;Yaa Allah... Knp jadi begini yaak... 😢
razivb;investasi apa jual beli ini 190 tahun, 2 abad, 3 generasi 🤦🏻‍♀️
risangksatria;mending raimu mbok investasekno
septianto64;kita merdeka aja blm genap 100 tahun 😢
ukhtypal;Kyk negara pny elu aja bos..klo negara tu warisan ortu gpp..suka2 lu bos..😂negara milik rakyat  woy
achmadngamonsy;Jual SJ negara sesuai keinginanmu Joko . Tidak belajar dari Freport dipapua
bajumuslim729;investasi sebesar besarnya dan dalam tempo yang sesingkatnya , dengan damage se dalam dalamnya
arief_budi27;Harusnya seumur hidup, gratisin. Biar semua mau, investnya agar bikin ramai aja.
joepay4;Kasihan anak cucu negri ini ....punya daya apa kalo udah d kuasai asing....lama2 BS kayak Freeport..ratusan taon...anak cucu Qt dpt limbahnya ajh..
billylafi;Ngebet banget 😂
ahmadihsan_____;The simsons wilayah kalimantan jadi singapura wkwk
patahangi_;gak sebanding😢
bayfirmansyah;katanya udah antri investornya pak
pumpkinpie.id;Hongkong di sewa Inggris 100th. Ini giveaway 190th😢😢😢
anugrahgustiantost;Wkwkwkw. Jual diri ini namanya... bambang..bambang
dadi.saptomario;Obral gini brok👏
mrsmiitaa;Berasa dijajah gak sih? 😢 190 taun dikuasai asing. Ga kebayang apa yg yerjadi selama proses itu
abdijenar;Tukang ngibul😂😂😂😂
koharsuwandi;Tapi, percayalah pak. Ga akan ada yang tertarik..
cowboylangit;Era manusia2 tetakus sedunia
indera_yudistir4;Demi ambisi diri sendiri
syariefalghazali;😅 Percaya lu tong 😂
semangat_oke9898;Pak 190 THN ya udah ganti generasi pak.
kholil9946;😢😢😢
mohammad_noer.98;Jawaban kocak. Beliau mewariskan tanahh yang sudah digadai ke asing .. Greget banget guaa ....
afkarzyan;Menambah nambah pikiran aja
farruq_ahmad;Apa tidak belajar dari Freeport yaa
rusland_andreas;Ini orang menjabatnya 10 tahun bikin sengsaranya 2 abad 🙄
manrohmanman;Kang kayu lucu
riandanirezki;Adaa aja keturunan Firaun ya..
callmeniesa;Pengen bapak ini cepet lengser. Tp sue nya masih ada si anak. Apes banget bangsa kita 🥲
pras.tiyo.12914;Sekalian aja jual pulau Kalimantan pak gak perlu ngomong investasi. Lagian itu kan kemauan bapak ya sudah pakai harta bapak sendiri dan bisnis kroni bapak ya sudah kroni bapak suruh membiayai IKN
awie_lim11;Laa pak tp byk investor asing dr arab ada 100 omvesto,dari eropa puluhan investor,dari cina ada ratusan investor itu lo sy dengar dr bapak sndr blg thn lalu
aisyah_969;Waduh ngeri  sm aja di jajah
masihnguli;dr situ sudah nampak gk ada investor yg tertarik
agungseptyan;Seenaknya aja kayak tanah punya pribadi
suhen_addahiyatul_kalabi;Omong kosong
its_zzk25;@jokowi pak
kurniajkt9;Tanggung 190 thn, gk sekalian.sampe dunia kiamat. Buat narik investor.
risapramudita;
tmgki_;😂190 thn?,itu spa aj yg mau nginvest??
yanhendriyan;Lebih dari VOC dl
asri.woo;Warga Kalimantan ... Its your Land. 😢
majidahayu;Produk nek kakean diproma promo ki berarti angel payu ne 😂 @desikhapsari
adit__tj;Dirinya sedang menjalani investasi neraka
iam_satyakusuma;walaupun hidup 190 tahun kalo tak sembahyang apa guna nya
tohyr1919;Jual negara🔥🔥🔥
noviardibachtar;Di kira jualan kali
adamabduladzis;Pengen heran tapi Pinokio emang gitu 🔥
del_syrazaq19;Dia nggak mikir rakyat ind yg hampir 300 juta nanti gimana anak cucunya ,bapak2 kok bisa ya ...😇😇😇😢
anjasasmawan;Ohhh begitu
soyouabudu;Diobral ceritanya apa gmna nih?
jeremiatogii;barang yg diobral tandanya?
feyfeyeb;Wow sih... Anda luar biasa..👏👏
jinnoth;Spertinya #netizenPendukung nya bingung mau komen apa.. ok gas ok gas ❤️❤️👏👏
adilvi96;Katanya investor pada ngantri
ambivertsz;gpp lah.. selama masih dapet makan siang dan bisa joget. rakyat setuju bgt 🤡🤡🤡🤡
prish_8661;Blebbookkk
vandenhen;buruan kek ganti , rejeki banyak yg seret
mcl0vin182;Apa iya kartun simpson bakalan terjadi?
silumansarden_;KATANYA INVESTOR BANYAK BETT YANG PADA NGANTRIIII. APA EMANG GA LAKU WI?
artayasaiwayan;Ini namnya mengadaikan pulau... bukan menarik investasi sebesar besarnya.. yg ad  rakyat kalimantan akan tersingkir...
hakasunja;190 tahun, cucu saya belum tahu hidup selama itu pak 😢
sandrogeri;Hbs itu tinggal pergi
baskick13;Singaporean are welcome!
agung_mediaa;😢
roimuda99;Putu²ne awak dewe mene iki yaopo pak
aloysiussindu;Mulai frustasi ini jokowi untuk narik investor, alhasil bikin aturan gak masuk akal. Grusa grusu teroos, gak dosa kita sm pak harto?
mungki_hindarto_piero;Negara sdh tergadaikan. Apa kabar yg 58% ?
andika_alfina18;presiden @presidenjokowi.id @jokowi  rendah sekali martabat bangsa dan negara Indonesia sampai memberikan HGU ke investor asing . , HGU bisa jadi Hak milik kalo investor beratus tahun lalu masyarakat untuk mendapatkan lahan darimana?? bapa keliatan cemas karna kemungkinan ada skandal dana aliran pembuatan ibukora baru yaitu IKN
wayanwayan97;Sekalian obral sj bumi Indonesia ini , biar jd milik asing
jayanti_suryo;Monggo kerso bapak 😂😂
_sakadhitya_;Obral obral.... Gimmick nya udah ga berhasil
uje.wae;Ngopo ra didol sisan😂😂😂
amdfslrzqi;IKN ( Istana Keluarga Nepotisme )
ricky777chingu;190 Tahun buat cucu - cucu - cucu - cucu - cucunya.. 😂
rahman.razenofficial;Gua komen IKN di @fakta.indo malah di BULLY gara2 Kalimantan 😂
ijot_ilham;wkwkwkw marketing atau pemimpin???😂
gmlrgian;🤡
asave_23;58 % pada ke mane ye
sejarahduniia;pembuat damage terbesar melebihi siapapun yg pernah memimpin negeri ini... cuma gus dur dan jenius habibi yg saya respect di negara ini.
riadfarhan;Kenapa sampai 190thn,,, kalau IKN menguntungkan, tentu akan  datang dgn sendirinya,,,😢😢😢
uteq_0510;Tp nasib warga sekitar tetep teepinggirkan jd penonton yg bisa aja terusir dr wilayahnya oleh pengusaha2
justlea168;
adjinugrohotriatmodjo;Agustus - september - oktober
ngkimwarkiman;Sudah bener2 jualan mebel, malah jd pleciden
dwinesaanggraeni;Gk dijual az sekalian Pak
nasrawi15;Punya dosa apa ya sehingga dia yg harus jadi presiden di antara sebanyak-banyaknya rakyatnya indo yg jauh lebih bisa dan ga dadak dan sepihak
m.herupurnomo;HGU 190 tahun, tiga generasi. Meraka bisa jadi akan merasa sudah menjadi hakmiliknya dan merasa seperti tanah airnya sendiri.
catchthepast;Demi nafsu dikenang sebagai pendiri ikn.....tanah air pun diGADAI😂😂😂😂😂
_nvyg;Wekeke,.obral2in, dewa jokowowkowakowow mah bebas,.#jokowisme #remek
herm4n_kuchiki;Pdhl sudah banyak investor pak, masih kurang kah??
ojikojik0;Kenapa ga di diserahin ke pengelola PIK😂😂 auto jd kota&negara baru
dli.afdhalash;ada apa sih buru buru banget pakk, minimal diskusi publik dulu makanya MANA YANG LEBIH PENTING bukan asal bikin aturan yang nantinya bakal merugikan masyarakat
babehafgar;Merdeka ke 79th ini HGU nya 190th
air.rahman;Saking lamanya sampai narator yang lama menjadi lelah dan diganti oleh narator yang baru
deri_kresnawandi;Sales IKN mulai aktif jualan lagi
indaradinugraha;Freeport v.2. .. 👏
hidhayatsrf;Sudah banyak pengalaman , maka dari itu jika memilih pemimpin harus hati2 , semua efek baik dan buruknya kita sendiri yang merasakan dampak besarnya .
readonedesign;Laaaah katanya udah banyak yg antri investasi pak ? Gimana sih !!!. berarti selama ini ? .... #hukumterbalik
mpoknina;Gak segitunya kali. Apa bedanya dg cina yg terpaksa ksh HONGKONG ke Inggris?😂
rudi_alexanders;Investasi asing yg kaya rakyat nya yg celaka😂
rahmatramadhan_1;Tanggung 2 Abad aja
denitriyanto29;Kita aja belom merdeka 1 abad pa .. kocak !
chandra.rama_;Menarik investasi yang sebesar-besarnya dan dalam tempo yang sesingkat-singkatnya
emilgaviria;Minimal 1 orang dalam keluarga ada urat malu.
lutfiadiputra;Boboroknya pemimpin negara🔥
aldino_abu_ishmael;Duitnya ada duitnya ada.... 😂
fandydonkzt;Dulu penjajah dateng sendiri, klo skrg diundang, khan maeennn 😌😅
im_kynzz;Terlalu nafsu untuk IKN,segala cara di lakukan 🥲🥲
arditama_tgr;Singapura investasi kalimantan
fajriihaikall;Yok semangat wi bikin proyek ini gagal total wkwkwkwkwk
tradisela_;The Simpsons wkkwk?
mr.perdhana;Sebuah Pemikiran..
vvannda.novv.1;promo IKN udah flash sale besar²an tapi masih aja kurang diminati investor,ending nya apbn babak belur buat tutup lubang bangun infrastruktur
nadiahidayati;Gak lama terus IKN diambil alih negara lain karena posisinya strategis dekat natuna.
jtalsyam;nuruti egomu pak pak
hastarika;& kemiskinan rakyat sebesar-besarnya
rollkirii;Jual negara
adhimwn;😂sama jual tanah negara 😂😂😂😂🔥🔥🔥
ravirathe69;semangat pak 👏  masih banyak warga kita yg bisa dibodoh2in
riayunita417;Entongggggggg bakataikkk
a_irwnt7;Gile dh ini kebijakn
afifhidajathas;Ugh this man! 😂
heyjudh;😂😂😂
andryolazv;Lo kenapa sering muncul di beranda gw akhir akhir ini 😂
milonakitnac;PARU PARU DUNIA apakah mulai ASMA?
nabilakhrnsa95;Kelihatan sederhana tapi😂
hptyj;ga gitu juga bolo...
faisalabdillah14;Waduh
qowiim;biasaah
abd.rohman111;Karepmu paak .......
accuzsyoichi_;APRIL MOP..
wira__aditya;Klean tau gak? yang gak dimiliki negara lain adalah Kekayaan Indonesia. Yang gak dimiliki Indonesia adalah Uang 😂 Mengsedih
ya_ampun_zoel;sama aja lo ngobral tanah negara itu jok
danisoekarto;jajahlah negara ini....ngalahin VOC. kedaulatan bangsa ambyarrr
wiratta_31;"Keknya pulanya mau di jual tapi gpp lah bair orang"" kalimantan bisa kluar dari indo😂😂😂😂"
bonids_;Hancurkan pak hancurkaannn🔥
zallshop_36;Yg memuja IKN tapi masih byk di @ikn_id mau heran tapi ini Konoha 😢
khafidz_abdul;Pak saya punya modal 3jt buat buka usaha teh bisa ngga
yhs21125;Ga ada gunanya cuma gimmick doang
aazedodo;Nilai jualnya hanya dr segi HGU ? 😂😂😂
tetisusanti21;Sia² sudah perjuangan para pahlawan membebaskan tanah air ini dari penjajah 😢
jerritriromia28_;😂😂😂
emsyahroni;terserah bapak aja deh... capek diboongin😂
hamdanihamdanadan;Jangan 190 tahun sampai 100 keturuan dari anak2 bapa aj kan buka. Punya bapa
rehan18andari;Pentingnya punya ijazah
adityaan88;Jual pulau : litteraly, jual tanah.. 🔥🔥🔥
harrygrin_12;Ngapa gak dijual aja sekalian, ngahahah
abahkis;Suruh ganti segera rezim Jokowi itu ,bahaya negara di urus dia
abiyadisetiadi;11 T sudah ada dikantong saya
rizal_lutfi_yasin;Saking gak laku nya nyampe diobral 😮
fauoz4n_;Biar sampe ke cicit2 nya ya pak ..
ghufran_95a;@jokowi ini negara bkn milikmu, yg berjuang demi kemerdekaan RI adalah rakyat indonesia. Jangan se enak nya saja asing di plihara
ddn_j4;Percuma merdeka kalo HGU di berikan kepada pengusaha asing
masih_aku;Singapur
pecellandak;Tanah air siapa? (190 tahun)
wahyutw64;Definisi ngontrak di tanah rumah sendiri.... 👏👏👏
neni.khusnun;Yg baru 10 th susah diusir apalagi yg 190 th
hamdanihamdanadan;Ciiri2 orang munapik atau berdusta ialah apa bila ia berkata atau berbucara selalu berdusta dan ia ingikari tidka dapat di percaya.
bob_papagwen;😂 Tenang semua kan bisa di Rubah setiap saat.
pandabarasa;Jokowi...jokowi
gandaaptr_;merdeka aja belum ada 100 tahun trus izin hgu 190 tahun😂
benk_bomet;NKRI harga di obral murah
robbanifikri;Malah minta dijajah lagi :((
izza00069;Sebesar2nya masuk dikantong siapa, tentu bukan dikantong rakyat
ade_pratiwi.88;Mbok uwes... kelolanen dewe Kekayaan Indonesia dengan sebaik²nya lak enguk det akeh ra malah di doli..
alvianpanji_;1000 tahun aja pak
juhair1.ikhsn_;Jok jok👏
sadikin.hamdani;VOC: punteeenn..
babymoon2604;Ga sekalian negara ini di gadein tuan?? Masih banyak lahan ksong itu sy lihat...
denmas_sugiri;Di obral di obral selagi ada di obral..di obral di obral😂😂😂😂😂
the_25th_bam;Kalo ga punya duit ga usah maksa!!!!
fatreeandtea;nanggung.. ga sekalian 350th aja, pack?! biar setara pas jaman sebelum 17 agustus 1945!!! kek dia tuan tanah aja!!! DIH!!!
colbyalgaza;Penjajahan era modern
rzkazhraa__;genepin 200 tahun aja skalian😍
aoosart;Akn mnimbulkn permasalhn di masa mendatang....
arie_andespol;Obral.... Obral.....
japling.10;Pentingnya IJAZAH ASLI .
iyas.ap;Investor yg dulu ngantri pada kemana ? Katanya banyak yg ngantri 😂
riyansyahmalik;Diobral msh gada yg mau
dekyen501;Bukan investasi bosTapi ngutang ngutang ngutang, nepotisme, lapangan kerja 10 juta pret Investasi berkedok apa lagi nihDulu gua dukung ni presiden skrg dah gedek
didivai;Itu IKN mau di jadiin kota bisnis atau ibukota negara wkwkwk sama brrti kyk bangun kota2 lainnya pantesan Andrinof Chaniago inisiator IKN kecewa krn udah melenceng dr konsep dan ide besar nya
habibkhoiruddin;Peeeeee.....
najwahmuhammad;Dodolan indonesia 😂😂
ulfa.mutiara;Diobral?
ahmadamank;Indonesia sudah berapa tahun merdeka ya
devin.fir;Bukan, Untuk menjual murah Indonesia sebanyak banyaknya
frhnhrddar;VOC aja 75 tahun pak
dh33ka;Dulu infonya ngantri berbondong2 investor dr berbagai negara😍😍
msnpratama28;Ayo pak nambah 2x lipat biar sama kaya waktu Belanda menjajah Nusantara 😂👏
lhialunar;Kapan ya Indonesia bisa berdaulat.. sad 😢
bale1126;Kocag
muwardii;Sakit ga sih presiden kita ? Segitu ngototnya bangun sesuatu yg ga ada anggarannya😢
o_reeo;Negara diobral
papabats;Ngga sekalian Seumur Hidup Saja Toh.....
setiyonods;Wahh2.....keren😂😂😂😂
aryo_heifer;Mamam tuh investasi
geri.bdg0615;Duh aya2 wae, inget pa itu bukan milik keluarga atau konglomerat, 190 tahun itu waktu yg luar biasa lama , kl memang tdk ada yg minat lebih baik jgn di paksakan, ini seolah olah mengobral barang yg tdk laku / dgn kata lain jual rugi, ingat pak ini Negara bulan mengelola perusahaan pribadi
muhammad_amin92;Jual sekalian aja pulaunya nanggung amat 190TH
_ariefwibowo;Ahh bodo amat sama orang ini
99adikurniawan;Ngeri Bos Sisitematik banget maenya🙃🤑
dfrs_12_;"Kenapa gak to the point aja ""MENJUAL TANAH"",pake Istilah HGU 190 thn segala😂"
sekianpurnama04;😢😢😢😢😢😢😢😢😢😢😢😢😢
dedi.setiawan03;siap² dah lahan habis untuk oligarki. tiada lagi lahan untuk bertani. JAYA OLIGARKI THE 9 🐉
nugraha.ricky;Bosen liat dia
valentino.novry;Kok komennya banyakan 42%? 🤔,, Mana nih komen 58%?
riyantopandu;Singapore 😂😂😂
rahmat_.em;Masa baksi 10 tahun ,tapi daya rusaknya hampir 2 abad
netral_gear;Memang tanah nenek moyang mu
pseudotrip;Kualitas pemimpin mencerminkan kualitas rakyat
nr.starrky;Maka selama 190 tahun tanah IKN jadi jajahan asing
criz3316;Jan ethes kapan jadi presiden
idasu7777;Oke gas gas,jogetin aja
purnama_irwan;DULU KATA SI BELIMBING SAYUR ANTRI KATANYA INVESTOR .. SILAHKAN AJA GOOGLING.. GA SEKALIAN AJA PAK 1000 TAHUB GITU TANGGUNG.. 🔥🔥🔥
selvimelindaa;Bilang aja sih ngejual.
awannindra;🗿🗿🗿🗿🗿
viernas;Apa yg mau ditarik kalo gak ada yg menarik?
ryanwiguna;yg pusing 38 presiden periode mendatang 😂
jonpiter_da;Manis di awal.gitu...😂
gde_topan;Emang Masih ada yg mau investasi?
myname_inar;🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
berackos21;bener di peta Simpsons kalimantan jadi singapore..
misterwidodo123;Jadi yg dulu katanya investor mengantri itu pada kemana? 🤔
ikhazakaria_;Kekejaman Dunia 🥲
gtarfen;Semoga dapat hidayah bagi negriku. 🙌
wahyu_arya_wahyu;Kaum oligarki mana mikir masa depan
tesseract_dimensions;Takut dianggap proyek mangkrak kan? 😂
rid680;Dijual dijual
ceyyen.pramudi;Bapak ini mau ngomong apa juga bener kata pendukungnya mah,,,
nanangse8410;Ta bahaya buat anak cucu penerus bangsa....jadi babu di negeri sendiri
initial.ak_;Umur negara baru 79 tahun, mau di gadaikan 190 tahun ... Ok gass ok gass makan itu keberlanjutan 😂😂😂
swbkr;Doain ga laku guys
arsrra;lho kalo emang proyeknya menarik, kenapa investornya harus ditarik supaya tertarik?
atiekwidowanti;Keblinger kabeh 😢 Kok pada diam  ya dgn kebijakan spt ini waduh
arie_widodo_se;jual aja sekalian kalimantan.. nanggung amat
rahmatdanilfebrian;Jgn percaya, ini yg jualan biasanya ngibul 😂
k._umami;😢😢😢
mrengil90;Gasssss kata warga 02
bininyaandy;Kalimantan emang gada nilai jualnya ya Pak selain obralin HGU??kasian amat Indonesia. Astagfirullah
ukariansyah;enak yang kaya mah
dio_asmandaru;Nggak sekalian 350 tahun pak biar nostalgia dijajah VOC
ridwan_inc;Milik negara kok jadi HGU😢
lusianal73;Aduh pak, kalau tempat menjanjikan buat investasi, jangankan 190 thn,  5 tahun aja banyak yg mengantri
rjchevyy;Jual aj negaranya pak sekalian.
mcdew9;Sehat pak?
jovannandaa;Lawakkk lawakkk ngemis investor
adin_duckz;Rusak, sudah 190
lukyky2;@_thismelya
sewaintenda;Kebijakan yang dampaknya buruknya  untuk 3 generasi😢.
upannnnnnn;Coba 350 tahun pakde, pasti pada mau 😂
mnaashr;mending 💃🏻
be_duel;🔥🔥🔥🔥
ilynanamirdad;Kata anak nya banyak pak investor yg ngantri
mkhoirulmala;Di obral ya negaranya
mass_bjo;Rusak dah itu hutaaaaannn 🔥🔥🔥🔥🥻💩
dwi_yaa_22;Cepat ya
mdzikri876;Janga lupa suku-suku yang ada di Indonesia ada berapa?
satuaspalcom;Stress
baandrekk;Itu mah di jajah kocag
irf.un;Gw yakin nih, belum riset buruknya. Taunya baiknya doang. Biasanya kan gitu.
arnoldpeilouw07;Papua sdh habis , giliran Kalimantan 💔
sury.adi3647;Demi nafsu nya tercapai apa pun di halalkan....
lutfi_lbff_sffc;Ngontrakin rumah apa jual rumah
dmodtari;UUPA sdh mengatur 15th masa HGU, lucunya 190th diatur oleh Perpres dimana tingkatan Perpres dibawah UU. Yg paling lawak, para ahli hukum hy bisa terdiam.. 🫢
adityaazi;Kumaha maneh weh lah!
azizah_reborn;Ni mo bangun kota pemerintahan apa kota bisnis sih ???
lable_fashion;Makan siang yuuukkk...
hart_takada;Ok gas ok gas 😂
nciingg;WKKKWKWKWK 190 TAHUN UDAH TINGGAL TULANG😂
deni_1897;😂😂dlu bilange investor pada antri
mister__ji;Oh gitu, jd krn udh mulai panik ga ada investor masuk jadi pake strategi macam ini. Boleh juga nih strateginya. Padahal dlu udh gembar gembor katanya udh ada investor yg masuk tp nyatanya zonk. Hebat sekali ya orang ini, hebat dalam membod*hi para pendukungnya. Dimulai dulu saat dia bilang soal mobil esemka sudah Ada pemesanan 6rb unit sampai soal IKN ini🤭
dhoni.adityaa;Yang buat peraturan udah mati, peraturannya masih ada wkwkwkkwkw
tawonkecil;Kata gibran banyak yang ngantri 😒
d14h29na;Janji tinggal janji
_capucino1994;Tar kya freeport 🤣
fujieri1;Menjual tanah air dengan dalih investasi
yatitaniati;Apakah di perbolehkan bergantian suami karena aku males main sma suamiku yang baru 1kali main aja suamiku udah nyerah😭😭
rezakroos;Lu disuruh siapa bikin ikn
rivai3024;190 thn??????
siddik_hs;Itu kira2 cucu aku masih hidup gak ya,, lama amat keburu kiamat😂😂😂😂😂
kibaragung;Hhhmmm... 😊😁😆
elitatedja;😱😱😱
junior12saputra;Mencla-mencle x PLANGA-PLONGO🔥
fik_wildani12;190 tahun dibayar pake pajak dr rakyat, klo 190thn dibayar sama kerjakeras pak @jokowi , mas @gibran_rakabuming , mas @bobbynst , mas @kaesangp dg cara KALIAN GA DIGAJI demi bayar hutang ya ga apa2... lha ini dibayar pake PAJAK DARI KAMI RAKYAT INDONESIA😢 plis presiden latar belakangnya pengusaha ternyata begini ya... modal sekecil2nya, untung sebesar2nya dan modalnya dari PAJAK RAKYAT INDONESIA
rifkiauliafauzan;😂😂😂
alhasrin;Selain pesepakbola nampaknya kita butuh naturalisasi presiden juga
ashobur;Anak abah, kau sakit hati, terus apalagi? Padahal kita kritik sebagai rakyat bukan simpatisan pemilu😢
kreshnaadjisan;Ugal2an, Emang bakal idup sampe 190 tahun?
dwikayudhis;Anjir mo jadi kayak dijajah belanda lagi apa gimana
renatoo_fm;Agak lain ini orang😂
junior12saputra;Ini gimana sih, di UU Agraria HGU itu 25 tahun. Untuk sektor  tertentu maksimal  35 tahun. Bisa diperpanjang 25 tahu. Perasan gak bakal sampe seabad. Kedudukan UU itu di atas Perpres. Kok bisa berbenturan... 😮 otak gw gk sampe ❗❗Emang ada jaman SOEHARTO-SBY menggunakan cara itu terhadap investor❓❓itu baru HGU cuma sebatas perpres, sekelas MK aja bisa banget ngerubah rubah aturan.. Bisa-bisa rakyat sendiri tersingkirkan oleh investor investor yang bisa aja berubah menjadi HAK MILIK GUNA BANGUN yang bakal menggugat melalui MK🔥❗❗
savitriwn;Widiih,negara ini ky udh punya nenek moyangny bpak aja😂
muhammadsuta09;begini nih klo punya presiden rasa sales 😂😂
tresnag;Pak, coba deh pak berpikir, kunyah pelan2 kata2 bapak sendiri 😂
apramz2022;Udah mau lengser gak berhasil tarik investor, sekarang obral hak guna sampe hampir 2 abad. Emang tanah keluarga seenaknya diobral kayak gitu?
unclecurly15;Yak jualan pulau besar lagi🔥
ariefqlukman;Lucu bapak ini emang pandai ngelawak 😂
nunucinta705;Ini gk ada yg mau demo 😢😢
harnesagus;Akhir jabatan mengapa selalu terkuak semua
santoso.cokro;Sampenya anak cucunya jan ethes 😂
_bukharihasan;Ngejabat 2 periode, dampaknya 2 abad
nizarwin_;Udh di obral masih gak laku, dikira 190th itu sbntr apa?
king_kasevski;Katanya dulu sudah bnyak investor? Katanya jg mau kita2 yg ngurusnya, ga ada pihak asing
